name,type
Jar of Lost Voices,Oggetto
Jumping Root,Oggetto
Knowledge Stone,Oggetto
Lakestrider Boots,Oggetto
Lorekeeper,Oggetto
Major Arcane Shard,Oggetto
Major Attune Potion,Oggetto
Major Bolster Potion,Oggetto
Major Charm Potion,Oggetto
Major Control Potion,Oggetto
Major Enlighten Potion,Oggetto
Major Health Potion,Oggetto
Major Stamina Potion,Oggetto
Major Stride Potion,Oggetto
Manacles,Oggetto
Minor Health Potion,Oggetto
Minor Health Potion Recipe,Oggetto
Minor Stamina Potion,Oggetto
Minor Stamina Potion Recipe,Oggetto
Mirror of Marigold,Oggetto
Morphing Clay,Oggetto
Mythic Dust,Oggetto
Mythic Dust Recipe,Oggetto
Ogre Musk,Oggetto
Paragons Chain,Oggetto
Phoenix Feather,Oggetto
Piercing Arrows,Oggetto
Piper Whistle,Oggetto
Portal Seed,Oggetto
Potion of Stability,Oggetto
Premium Bedroll,Oggetto
Redthorn Saliva,Oggetto
Replication Parchment,Oggetto
Ring of Resistance,Oggetto
Ring of Silence,Oggetto
Ring of Unbreakable Resolve,Oggetto
Shard of Memory,Oggetto
Shrinking Potion,Oggetto
Skeleton Key,Oggetto
Sleeping Sap,Oggetto
Snap Powder,Oggetto
Speaking Orbs,Oggetto
Stamina Potion,Oggetto
Stardrop,Oggetto
Stride Potion,Oggetto
Stride Relic,Oggetto
Sun Tree Sap,Oggetto
Suspended Rod,Oggetto
Sweet Moss,Oggetto
Unstable Arcane Shard,Oggetto
Valorstone,Oggetto
Varik Leaves,Oggetto
Vial of Darksmoke,Oggetto
Vial of Darksmoke Recipe,Oggetto
Vial of Moondrip,Oggetto
Wingsprout,Oggetto
Woven Net,Oggetto
Agan,PNG
An'Rao IV,PNG
Annie Rose-Robe,PNG
Axrul II De Vaars,PNG
Bruin Ashcroft,PNG
Buhragath,PNG
Daahronat,PNG
Desea,PNG
Doerun Eldobeth,PNG
Efneriom,PNG
Fahrn,PNG
Hedd,PNG
Horus,PNG
Hulbert,PNG
Korath,PNG
Lewyn,PNG
M'oraoork,PNG
Najestarr,PNG
Namass'rya,PNG
Nelen Deseziath,PNG
Orgnornor,PNG
Rakilia,PNG
Renetzia,PNG
Rihko,PNG
Rowzrugu,PNG
Sagister,PNG
Ziria,PNG
Clank,Popolo
Drakona,Popolo
Elfi,Popolo
Elfi di Dor,Popolo
Faerie,Popolo
Fauni,Popolo
Firbolg,Popolo
Fungril,Popolo
Galapa,Popolo
Giganti,Popolo
Goblin,Popolo
Halfling,Popolo
Hjilaki,Popolo
Infernis,Popolo
Karevi,Popolo
Katari,Popolo
Klorss,Popolo
Nani,Popolo
Nuno,Popolo
Orchi,Popolo
Ribbet,Popolo
Simiah,Popolo
Umani,Popolo
Urakian,Popolo
Vampiro,Popolo
Wiloi,Popolo
Ispirazione Divina,Regola
Teriantropia,Regola
Transformations,Regola
Vampirismo,Regola
Abandoned Grove,Scenario
Ambushed,Scenario
Ambushers,Scenario
Burning Heart of the Woods,Scenario
Bustling Marketplace,Scenario
Castle Siege,Scenario
Chaos Realm,Scenario
Cliffside Ascent,Scenario
Cult Ritual,Scenario
Divine Usurpation,Scenario
Hallowed Temple,Scenario
Haunted City,Scenario
Imperial Court,Scenario
Local Tavern,Scenario
Mountain Pass,Scenario
Necromancers Ossuary,Scenario
Outpost Town,Scenario
Pitched Battle,Scenario
Raging River,Scenario
Beastbound,Sottoclasse
Call of the Brave,Sottoclasse
Call of the Slayer,Sottoclasse
Cavaliere Ospedaliere,Sottoclasse
Cavaliere di Kurash,Sottoclasse
Cavaliere di Öuin,Sottoclasse
Divine Wielder,Sottoclasse
Elemental Origin,Sottoclasse
Nightwalker,Sottoclasse
Primal Origin,Sottoclasse
School of Knowledge,Sottoclasse
School of War,Sottoclasse
Stalwart,Sottoclasse
Syndicate,Sottoclasse
Troubadour,Sottoclasse
Vengeance,Sottoclasse
Warden of Renewal,Sottoclasse
Warden of the Elements,Sottoclasse
Wayfinder,Sottoclasse
Winged Sentinel,Sottoclasse
Wordsmith,Sottoclasse
Template Ancestry,Template
