source,source_type,target,target_type,weight
Matna e la Scatola,artifact,Tenebris,deity_or_faction,1
Mercanti di Meteore,artifact,Guerra Celeste,lore,1
Mercanti di Meteore,artifact,Meteore,artifact,1
Mercanti di Meteore,artifact,Rengaria,location,1
Mercanti di Meteore,artifact,cacciatori di meteore,unknown,1
Nindja,artifact,Demien,deity_or_faction,1
Occhio del Demone,artifact,Rengaria,location,1
Prima Lucis Advehens,artifact,Neir,location,1
Prima Lucis Advehens,artifact,Dominio delle Trame,location,1
Psy Bot,artifact,Doomkhan,deity_or_faction,1
Putto,artifact,Azkabel,location,1
Sfida Celeste,artifact,Laon,deity_or_faction,1
Sfida Celeste,artifact,Halthea,deity_or_faction,1
Teschio del Traditore,artifact,Guerra Celeste,lore,1
Teschio del Traditore,artifact,Neir,location,1
Teschio del Traditore,artifact,Dimensione della Materia,lore,1
Teschio del Traditore,artifact,Rengaria,location,1
Tibia di Jonuun,artifact,Giganti,unknown,1
Tibia di Jonuun,artifact,Agmund,unknown,1
Tridente del Mare Eterno,artifact,Glumdrung,deity_or_faction,1
Tridente del Mare Eterno,artifact,Neir,location,1
Cratere di Lava,location,Urakian,unknown,1
Cratere di Lava,location,Lanie,deity_or_faction,1
Distese Nuvolose di Aej'Nagrizzt,location,Rengaria,location,1
Distese Nuvolose di Aej'Nagrizzt,location,Urakian,unknown,1
Placido Specchio di Ghyd,location,Urakian,unknown,1
Città delle Trame,location,Piscine,location,1
Città delle Trame,location,Obelisco dei Vinti,location,1
Città delle Trame,location,Mercato degli Schiavi,location,1
Città delle Trame,location,Cancello,location,1
Città delle Trame,location,Segrete,location,1
Città delle Trame,location,Reggia dei Piaceri,location,1
Landa di Edeber,location,Öuin,location,1
Landa di Edeber,location,klorss,unknown,1
Landa di Edeber,location,Radura delle Pietre Grigie,location,1
Öuin,location,Palazzo Ducale,location,1
Öuin,location,Piazza della Giostra,location,1
Öuin,location,Sala dei Gran Maestri,location,1
Öuin,location,Riposo dei Cavalieri,location,1
Öuin,location,Molo,location,1
Öuin,location,Ponte Curvo,location,1
Öuin,location,Locanda degli Eroi,location,1
Öuin,location,Tempio del Cuore e della Mente,location,1
Gundazar,location,Il Palazzo Imperiale,location,1
Gundazar,location,La Torre delle Anime,location,1
Kkyrlamny,location,Neir,location,1
Kkyrlamny,location,Karevi,unknown,1
Kkyrlamny,location,Giungla di Erth,location,1
Kkyrlamny,location,Lago Vurur,location,1
Kkyrlamny,location,Miniere delle Otto Famiglie,location,1
Kkyrlamny,location,Hzaad'à,location,1
Kkyrlamny,location,Fiume Dern,location,1
Kkyrlamny,location,Ynxazvann,location,1
Kkyrlamny,location,Gloriosa Ezakran,location,1
Provincia di Petralta,location,Abisso Oscuro,location,1
Provincia di Petralta,location,Baia di Redoro,location,1
Provincia di Petralta,location,Fato di Lyonel,location,1
Provincia di Petralta,location,Petralta,location,1
Provincia di Petralta,location,Manor,location,1
Mendulia's Rock,location,Rupe di Mendulia,location,1
Mendulia's Rock,location,Molo degli Stendardi,location,1
Mendulia's Rock,location,Rifugio dei Marinai,location,1
Mendulia's Rock,location,Base della Marina,location,1
Mendulia's Rock,location,Banco del Mare,location,1
Mendulia's Rock,location,Ippodromo,location,1
Mendulia's Rock,location,Corporazione delle Arti,location,1
Mendulia's Rock,location,Tana delle Sguattere,location,1
Mendulia's Rock,location,Bassifondi,location,1
Mendulia's Rock,location,Tempio della Guarigione,location,1
Mendulia's Rock,location,Accademia delle Sette Arti,location,1
Mendulia's Rock,location,Scuola delle Parole che Uccidono,location,1
Mendulia's Rock,location,Teatro dei Sogni,location,1
Baia d'Argento di Onor,location,Cimitero dei Draghi,location,1
Bosco di Alysara,location,Azkabel,location,1
Bosco di Alysara,location,Magocrazia di Nü,location,1
Bosco di Alysara,location,Mendulia's Rock,location,1
Bosco di Alysara,location,Neir,location,1
Cimitero dei Draghi,location,Larass'hra,location,1
Cimitero dei Draghi,location,Nebvarasa,unknown,1
Desolazione Occidentale,location,Neir,location,1
Isole Gemelle,location,Desolazione Occidentale,location,1
Montagna dell'Occhio del Drago,location,Leresalazsnn'hra,unknown,1
Montagna dell'Occhio del Drago,location,Cenere di Lanie,location,1
Regione Mistica,location,Picchi del Wyrm,location,1
Terra di Ambra,location,Neir,location,1
Terra di Ambra,location,Canzone di Nebvarasa,lore,1
Terra di Ambra,location,Leresalazsnn'hra,unknown,1
Azkabel,location,Casa dei Musici e delle Belle Arti,location,1
Azkabel,location,Biblioteca di Azkabel,location,1
Azkabel,location,Osteria dell'Onda Infranta,location,1
Città di Nü,location,Wiloi,unknown,1
Città di Nü,location,Elfi,unknown,1
Città di Nü,location,Magocrazia di Nü,location,1
Città di Nü,location,Daragoss,location,1
Città di Nü,location,Elfi di Dor,ancestry,1
Città di Nü,location,Azkabel,location,1
Città di Nü,location,Torre dei Segreti,location,1
Città di Nü,location,Locanda della Pergamena Annacquata,location,1
Città di Nü,location,Accademia Magica di Nü,location,1
Città di Nü,location,Locanda delle Spade Incantate,location,1
Città di Nü,location,Doomkhan,deity_or_faction,1
Daragoss,location,Wiloi,unknown,1
Daragoss,location,Elfi,ancestry,1
Daragoss,location,Città di Nü,location,1
Daragoss,location,Azkabel,location,1
Daragoss,location,Neir,location,1
Daragoss,location,Via delle Botteghe,location,1
Daragoss,location,Università delle Scienze,location,1
Daragoss,location,Museo Naturale,location,1
Daragoss,location,Caserma delle Mille Lance,location,1
Daragoss,location,Grande Porto,location,1
Giardino degli Dei,location,Città delle Trame,location,1
Le Mura Invalicabili,location,Urakian,unknown,1
Le Mura Invalicabili,location,Forte Arundex,location,1
Piramide del Dio Dimenticato,location,Elfi,unknown,1
Piramide del Dio Dimenticato,location,Neir,location,1
Scuola degli Specchi,location,Neir,location,1
Scuola degli Specchi,location,Sagister,npc,1
Scuola degli Specchi,location,Piramide del Dio Dimenticato,location,1
Scuola degli Specchi,location,Doomkhan,deity_or_faction,1
Milford,location,Dominio delle Trame,location,1
Milford,location,Pianure di Xanesh,location,1
Milford,location,Fortino del Conte,location,1
Milford,location,Locanda dell'Eterno Riposo,location,1
Milford,location,Iliar,deity_or_faction,1
Milford,location,Krea,deity_or_faction,1
Mubunash,location,Mendulia's Rock,location,1
Mubunash,location,Tenebris,deity_or_faction,1
Mubunash,location,Oscura Chiesa di Tenebris,location,1
Mubunash,location,Torre Baronale,location,1
Mubunash,location,Locanda del Cappuccio Nero,location,1
Mubunash,location,Corporazione degli Archivisti,location,1
Mubunash,location,Tempietto degli Ospedalieri,location,1
Mubunash,location,Terme Imperiali,location,1
Mubunash,location,Via degli Imperatori,location,1
Mubunash,location,Monteforte,location,1
Mubunash,location,Neir,location,1
Forte Arundex,location,Neir,location,1
Forte Arundex,location,Bastione Grigio,location,1
Forte Arundex,location,Arena delle Belve,location,1
Forte Arundex,location,Tempio degli Antenati,location,1
Forte Arundex,location,Guarnigione del Simbolo Guerriero,location,1
Forte Arundex,location,Antro dei Lupi d'Inverno,location,1
Forte Arundex,location,Lago delle Quattro Braccia,location,1
Forte Arundex,location,Doomkhan,deity_or_faction,1
Campo Geyser,location,Valle Nuvolosa,location,1
Campo Geyser,location,Nani,ancestry,1
Ludreq,location,Fonderia del Principe,location,1
Ludreq,location,Bastione del Principe,location,1
Ludreq,location,Fondo di Guldann,location,1
Ludreq,location,Fortezza degli Scudi,location,1
Ludreq,location,Santuario di Fadranstaff,location,1
Ludreq,location,Collegio,location,1
Ludreq,location,Birreria dei Thunder,location,1
Pahr,location,Ludreq,location,1
Pahr,location,selva infestata di Mysteria,unknown,1
Selva Infestata di Mysteria,location,Elfi,unknown,1
Cancello,location,Città delle Trame,location,1
Mercato degli Schiavi,location,Urakian,unknown,1
Mercato degli Schiavi,location,elfi\,unknown,1
Mercato degli Schiavi,location,halfling,unknown,1
Mercato degli Schiavi,location,gnomi\,unknown,1
Mercato degli Schiavi,location,orchi\,unknown,1
Mercato degli Schiavi,location,umani\,unknown,1
Obelisco dei Vinti,location,Città delle Trame,location,1
Reggia dei Piaceri,location,Città delle Trame,location,1
Reggia dei Piaceri,location,Neir,location,1
Segrete,location,Namass'rya,npc,1
Segrete,location,Dominio delle Trame,location,1
Segrete,location,Matrona di Sangue,unknown,1
Locanda degli Eroi,location,Öuin,location,1
Locanda degli Eroi,location,Valle Nuvolosa,location,1
Molo,location,Città di Nü,location,1
Molo,location,Landa di Edeber,location,1
Molo,location,Mendulia's Rock,location,1
Molo,location,Daragoss,location,1
Palazzo Ducale,location,Piazza della Giostra,location,1
Ponte Curvo,location,Öuin,location,1
Riposo dei Cavalieri,location,Öuin,location,1
Riposo dei Cavalieri,location,Laon,deity_or_faction,1
Sala dei Gran Maestri,location,Agan,npc,1
Sala dei Gran Maestri,location,Lewyn,npc,1
Aman'Raith,location,Valle Nuvolosa,location,1
Aman'Raith,location,Verde Foresta,location,1
La Torre delle Anime,location,Mendulia's Rock,location,1
La Torre delle Anime,location,Neir,location,1
Fiume Dern,location,Kkyrlamny,location,1
Fiume Dern,location,Valli dei Giganti,location,1
Fiume Dern,location,Abisso Oscuro,location,1
Gloriosa Ezakran,location,Impero delle Terre Nascoste,location,1
Gloriosa Ezakran,location,Kkyrlamny,location,1
Gloriosa Ezakran,location,Hzaad'à,location,1
Gloriosa Ezakran,location,Tempio della Luce Nera,location,1
Gloriosa Ezakran,location,Palazzo-sfera dell'Imperatore,location,1
Gloriosa Ezakran,location,Giardinetti Lungofiume,location,1
Gloriosa Ezakran,location,Quartiere Mendus,location,1
Gloriosa Ezakran,location,Quartiere Hjilaki,location,1
Gloriosa Ezakran,location,Quartiere Zeyd,location,1
Gloriosa Ezakran,location,Ritrovo dei Dannati,location,1
Hzaad'à,location,Kkyrlamny,location,1
Hzaad'à,location,Petralta,location,1
Hzaad'à,location,Garod,deity_or_faction,1
Lago Vurur,location,Giungla di Erth,location,1
Lago Vurur,location,Neir,location,1
Lago Vurur,location,Karevi,unknown,1
Abisso Oscuro,location,Neir,location,1
Abisso Oscuro,location,Hzaad'à,location,1
Abisso Oscuro,location,Wiloi,unknown,1
Baia di Redoro,location,Provincia di Petralta,location,1
Baia di Redoro,location,Repubblica di Mendulia’s Rock,location,1
Fato di Lyonel,location,Baia di Redoro,location,1
Fato di Lyonel,location,Neir,location,1
Fato di Lyonel,location,Gundazar,location,1
Manor,location,Impero delle Terre Nascoste,location,1
Manor,location,Neir,location,1
Manor,location,Cenere di Lanie,location,1
Petralta,location,Gundazar,location,1
Petralta,location,Gloriosa Ezakran,location,1
Petralta,location,Abisso Oscuro,location,1
Petralta,location,Manor,location,1
Petralta,location,Baia di Redoro,location,1
Petralta,location,Mendulia's Rock,location,1
Petralta,location,Fiera Avveniristica di Flurr lo Gnomo,location,1
Petralta,location,Porticato del Governatore,location,1
Petralta,location,Ostello dei Morti Contenti,location,1
Petralta,location,Ospedale del Silenzio,location,1
Petralta,location,I Bianchi Sepolcri,location,1
Petralta,location,Mura di Aeros II,location,1
Giardinetti Lungofiume,location,Karevi,unknown,1
Palazzo-sfera dell'Imperatore,location,Neir,location,1
Palazzo-sfera dell'Imperatore,location,Larass'hra,location,1
Palazzo-sfera dell'Imperatore,location,Impero delle Terre Nascoste,location,1
Quartiere Hjilaki,location,Giardinetti Lungofiume,location,1
Quartiere Hjilaki,location,Karevi,unknown,1
Quartiere Mendus,location,Mendulia's Rock,location,1
Quartiere Mendus,location,Gloriosa Ezakran,location,1
Quartiere Mendus,location,Karevi,unknown,1
Quartiere Mendus,location,Petralta,location,1
Quartiere Zeyd,location,Karevi,unknown,1
Ritrovo dei Dannati,location,Karevi,unknown,1
Ritrovo dei Dannati,location,Gloriosa Ezakran,location,1
Tempio della Luce Nera,location,Neir,location,1
Tempio della Luce Nera,location,M'oraoork,npc,1
Fiera Avveniristica di Flurr lo Gnomo,location,Petralta,location,1
Ospedale del Silenzio,location,Petralta,location,1
Ostello dei Morti Contenti,location,Petralta,location,1
Banco del Mare,location,Daragoss,location,1
Bassifondi,location,Dardi Sanguinanti,unknown,1
Ippodromo,location,Mendulia's Rock,location,1
Ippodromo,location,Neir,location,1
Molo degli Stendardi,location,Mendulia's Rock,location,1
Rifugio dei Marinai,location,Orchi,unknown,1
Rifugio dei Marinai,location,Urakian,unknown,1
Rifugio dei Marinai,location,halfling,unknown,1
Rifugio dei Marinai,location,Umani,ancestry,1
Rifugio dei Marinai,location,Elfi,ancestry,1
Rifugio dei Marinai,location,Wiloi,unknown,1
Rifugio dei Marinai,location,Karevi,unknown,1
Rifugio dei Marinai,location,gnomo,unknown,1
Rifugio dei Marinai,location,Azkabel,location,1
Rifugio dei Marinai,location,Molo degli Stendardi,location,1
Scuola delle Parole che Uccidono,location,Mendulia's Rock,location,1
Tana delle Sguattere,location,Orchi,ancestry,1
Tempio della Guarigione,location,Fadranstaff,deity_or_faction,1
Tempio della Guarigione,location,Mendulia's Rock,location,1
Biblioteca di Azkabel,location,Yolam'hra,unknown,1
Casa dei Musici e delle Belle Arti,location,Elfi,unknown,1
Osteria dell'Onda Infranta,location,Azkabel,location,1
Accademia Magica di Nü,location,Neir,location,1
Locanda della Pergamena Annacquata,location,Accademia Magica di Nü,location,1
Locanda della Pergamena Annacquata,location,yamyam,unknown,1
Caserma delle Mille Lance,location,Magocrazia di Nü,location,1
Caserma delle Mille Lance,location,Daragoss,location,1
Grande Porto,location,Daragoss,location,1
Museo Naturale,location,Università delle Scienze,location,1
Università delle Scienze,location,Accademia Magica di Nü,location,1
Università delle Scienze,location,Daragoss,location,1
Via delle Botteghe,location,Daragoss,location,1
Fortino del Conte,location,Annie Rose-Robe,npc,1
Fortino del Conte,location,Fadranstaff,deity_or_faction,1
Locanda dell'Eterno Riposo,location,Neir,location,1
Locanda dell'Eterno Riposo,location,Milford,location,1
Corporazione degli Archivisti,location,Neir,location,1
Oscura Chiesa di Tenebris,location,Pianure di Xanesh,location,1
Tempietto degli Ospedalieri,location,Mubunash,location,1
Tempietto degli Ospedalieri,location,Fadranstaff,deity_or_faction,1
Terme Imperiali,location,Mubunash,location,1
Torre Baronale,location,Oscura Chiesa di Tenebris,location,1
Via degli Imperatori,location,Gundazar,location,1
Via degli Imperatori,location,Pianure di Xanesh,location,1
Via degli Imperatori,location,Tenebris,deity_or_faction,1
Antro dei Lupi d'Inverno,location,Neir,location,1
Antro dei Lupi d'Inverno,location,Dardi Sanguinanti,unknown,1
Antro dei Lupi d'Inverno,location,Forte Arundex,location,1
Antro dei Lupi d'Inverno,location,Karevi,unknown,1
Bastione Grigio,location,Forte Arundex,location,1
Guarnigione del Simbolo Guerriero,location,Orgnornor,npc,1
Tempio degli Antenati,location,Forte Arundex,location,1
Bastione del Principe,location,Valle Nuvolosa,location,1
Collegio,location,Nani,unknown,1
Fonderia del Principe,location,Nani,unknown,1
Fondo di Guldann,location,Impero delle Terre Nascoste,location,1
Fondo di Guldann,location,Neir,location,1
Fortezza degli Scudi,location,Fondo di Guldann,location,1
Santuario di Fadranstaff,location,Ludreq,location,1
Santuario di Fadranstaff,location,Fadranstaff,deity_or_faction,1
Archivista,community,gnoll,unknown,1
Archivista,community,bardi,unknown,1
Archivista,community,Mubunash,location,1
Archivista,community,Pianure di Xanesh,location,1
Background,community,Esmeraldia,unknown,1
Background,community,Baia di Redoro,location,1
Background,community,Dardi Sanguinanti,unknown,1
Background,community,Archivista,community,1
Background,community,Dardo Sanguinante,community,1
Cacciatore di Meteore,community,Forte Arundex,location,1
Cacciatore di Meteore,community,Urakian,unknown,1
Cacciatore di Meteore,community,Karevi,unknown,1
Cacciatore di Meteore,community,Wiloi,unknown,1
Cacciatore di Meteore,community,Neir,location,1
Cacciatore di Meteore,community,Rengaria,location,1
Cacciatore di Meteore,community,Dimensione della Materia,lore,1
Dardo Sanguinante,community,Neir,location,1
Mare Andante,community,Gilda del Gonfalone Azzurro,unknown,1
Mare Andante,community,Gonfalone,unknown,1
Mare Andante,community,Gonfalone Azzurro,unknown,1
Arcana,domain,Custode delle Rune,ability,1
Arcana,domain,Libera il Caos,ability,1
Arcana,domain,Cammino sulle Pareti,ability,1
Arcana,domain,Presa Cinerea,ability,1
Arcana,domain,Occhio Fluttuante,ability,1
Arcana,domain,ControIncantesimo,ability,1
Arcana,domain,Volo,ability,1
Arcana,domain,Sparizione,ability,1
Arcana,domain,Esplosione di Conservazione,ability,1
Arcana,domain,Catena di Fulmini,ability,1
Arcana,domain,Premonizione,ability,1
Arcana,domain,Camminatore di Fessura,ability,1
Arcana,domain,Telecinesi,ability,1
Arcana,domain,Toccato dall'Arcano,ability,1
Arcana,domain,Esplosione Ammantata,ability,1
Arcana,domain,Riflesso Arcano,ability,1
Arcana,domain,Aura Confondente,ability,1
Arcana,domain,Terremoto,ability,1
Arcana,domain,Proiezione Sensoriale,ability,1
Arcana,domain,Regola la Realtà,ability,1
Arcana,domain,Cieli che Cadono,ability,1
Codice,domain,Bard,class,1
Codice,domain,Wizard,class,1
Codice,domain,Libro di Ava,ability,1
Codice,domain,Libro di Illiat,ability,1
Codice,domain,Libro di Tyfar,ability,1
Codice,domain,Libro di Sitil,ability,1
Codice,domain,Libro di Vagras,ability,1
Codice,domain,Libro di Korvax,ability,1
Codice,domain,Libro di Norai,ability,1
Codice,domain,Libro di Exota,ability,1
Codice,domain,Libro di Grynn,ability,1
Codice,domain,Muro Manifesto,ability,1
Codice,domain,Teletrasporto,ability,1
Codice,domain,Cacciare,ability,1
Codice,domain,Sigillo di Ritorsione,ability,1
Codice,domain,Libro di Homet,ability,1
Codice,domain,Toccato dal Codice,ability,1
Codice,domain,Libro di Vyola,ability,1
Codice,domain,Rifugio Sicuro,ability,1
Codice,domain,Libro di Ronin,ability,1
Codice,domain,Onda di Disintegrazione,ability,1
Codice,domain,Libro di Yarrow,ability,1
Codice,domain,Unione Trascendente,ability,1
Grazia,domain,Abile Inganno,ability,1
Grazia,domain,Estasi,ability,1
Grazia,domain,Parole d'Ispirazione,ability,1
Grazia,domain,Non Dire Mai Bugie,ability,1
Grazia,domain,PiantaGrane,ability,1
Grazia,domain,Velo Ipnotico,ability,1
Grazia,domain,Invisibilità,ability,1
Grazia,domain,Discorso Rassicurante,ability,1
Grazia,domain,Attraverso i Tuoi Occhi,ability,1
Grazia,domain,Scavatore di Pensieri,ability,1
Grazia,domain,Parole di Discordia,ability,1
Grazia,domain,Mai Sopraffatto,ability,1
Grazia,domain,Condividi il Carico,ability,1
Grazia,domain,Carisma Infinito,ability,1
Grazia,domain,Tocco della Grazia,ability,1
Grazia,domain,Proiezione Astrale,ability,1
Grazia,domain,Entusiasmo di Massa,ability,1
Grazia,domain,Imitatore,ability,1
Grazia,domain,Maestro dell'Arte,ability,1
Grazia,domain,Ripetizione,ability,1
Grazia,domain,Famoso,ability,1
Lama,domain,Guardian,class,1
Lama,domain,Warrior,class,1
Lama,domain,Rialzati,ability,1
Lama,domain,Non Abbastanza Buono,ability,1
Lama,domain,Vortice,ability,1
Lama,domain,Legame di un Soldato,ability,1
Lama,domain,Audace,ability,1
Lama,domain,Mischia,ability,1
Lama,domain,Combattente Versatile,ability,1
Lama,domain,Concentrazione Letale,ability,1
Lama,domain,Armatura Fortificata,ability,1
Lama,domain,Vantaggio del Campione,ability,1
Lama,domain,Vitalità,ability,1
Lama,domain,Rafforzato in Battaglia,ability,1
Lama,domain,Furia Crescente,ability,1
Lama,domain,Colpito dalla Lama,ability,1
Lama,domain,Colpo di Sfioramento,ability,1
Lama,domain,Grido di Battaglia,ability,1
Lama,domain,Frenesia,ability,1
Lama,domain,Sangue e Gloria,ability,1
Lama,domain,Colpo del Mietitore,ability,1
Lama,domain,Mostro da Battaglia,ability,1
Lama,domain,Assalto,ability,1
MezzaNotte,domain,Prendi e Tira,ability,1
MezzaNotte,domain,Pioggia di Lame,ability,1
MezzaNotte,domain,Travestimento Misterioso,ability,1
MezzaNotte,domain,Spirito di Mezzanotte,ability,1
MezzaNotte,domain,Legame dell'Ombra,ability,1
MezzaNotte,domain,Presa alla Gola,ability,1
MezzaNotte,domain,Velo Notturno,ability,1
MezzaNotte,domain,Esperto di Furtività,ability,1
MezzaNotte,domain,Glifo dell'Oscurità,ability,1
MezzaNotte,domain,Silenzio,ability,1
MezzaNotte,domain,Ritirata Fantasma,ability,1
MezzaNotte,domain,Sussurri Oscuri,ability,1
MezzaNotte,domain,Travestimento di Massa,ability,1
MezzaNotte,domain,Toccato dalla Mezzanotte,ability,1
MezzaNotte,domain,Schivata Elusiva,ability,1
MezzaNotte,domain,Cacciatore d'Ombre,ability,1
MezzaNotte,domain,Carica di Incantesimo,ability,1
MezzaNotte,domain,Terrore della Notte,ability,1
MezzaNotte,domain,Tassa del Crepuscolo,ability,1
MezzaNotte,domain,Eclissi,ability,1
MezzaNotte,domain,Spettro del Buio,ability,1
Ossa,domain,Manovre Agili,ability,1
Ossa,domain,Vedo Che Arriva,ability,1
Ossa,domain,Intoccabile,ability,1
Ossa,domain,Ferocia,ability,1
Ossa,domain,Approccio Strategico,ability,1
Ossa,domain,Rafforzamento,ability,1
Ossa,domain,Tattico,ability,1
Ossa,domain,Potenziamento,ability,1
Ossa,domain,Ridirezione,ability,1
Ossa,domain,Conosci il tuo nemico,ability,1
Ossa,domain,Mossa Caratteristica,ability,1
Ossa,domain,Risposta Rapida,ability,1
Ossa,domain,Recupero,ability,1
Ossa,domain,Toccando l'Osso,ability,1
Ossa,domain,Precisione Crudele,ability,1
Ossa,domain,Colpo di Rottura,ability,1
Ossa,domain,Controllare,ability,1
Ossa,domain,Sul Limite,ability,1
Ossa,domain,Colpo di Frantumazione,ability,1
Ossa,domain,Corsa verso la Morte,ability,1
Ossa,domain,Passo Rapido,ability,1
Saggio,domain,Druid,class,1
Saggio,domain,Ranger,class,1
Saggio,domain,Tracciatore Dotato,ability,1
Saggio,domain,Lingua della Natura,ability,1
Saggio,domain,Intrico Violento,ability,1
Saggio,domain,Evoca Sciame,ability,1
Saggio,domain,Famiglio della Natura,ability,1
Saggio,domain,Proiettile Corrosivo,ability,1
Saggio,domain,Fusto Maestoso,ability,1
Saggio,domain,Morsa Mortale,ability,1
Saggio,domain,Campo di Guarigione,ability,1
Saggio,domain,Pelle di Spine,ability,1
Saggio,domain,Fortezza Selvaggia,ability,1
Saggio,domain,Equidi Evocati,ability,1
Saggio,domain,Raccoglitore,ability,1
Saggio,domain,Tocco del Saggio,ability,1
Saggio,domain,Impulso Selvaggio,ability,1
Saggio,domain,Spiritelli della Foresta,ability,1
Saggio,domain,Barriera di Rigenerazione,ability,1
Saggio,domain,Santuario della Selva,ability,1
Saggio,domain,Dominio Vegetale,ability,1
Saggio,domain,Forza della Natura,ability,1
Saggio,domain,Tempesta,ability,1
Splendore,domain,Proiettile di Luce,ability,1
Splendore,domain,Tocco Riparatore,ability,1
Splendore,domain,Rassicurazione,ability,1
Splendore,domain,Ultime Parole,ability,1
Splendore,domain,Mani Curatrici,ability,1
Splendore,domain,Secondo Respiro,ability,1
Splendore,domain,Voce della Ragione,ability,1
Splendore,domain,Divinazione,ability,1
Splendore,domain,Vita Protetta,ability,1
Splendore,domain,Forma Materiale,ability,1
Splendore,domain,Colpo,ability,1
Splendore,domain,Ristoro,ability,1
Splendore,domain,Zona di Protezione,ability,1
Splendore,domain,Colpo Guaritore,ability,1
Splendore,domain,Tocco dello Splendore,ability,1
Splendore,domain,Scudo d'Aura,ability,1
Splendore,domain,Splendida Luce Solare,ability,1
Splendore,domain,Aura Sovrastante,ability,1
Splendore,domain,Raggio Salvifico,ability,1
Splendore,domain,Rinvigorimento,ability,1
Splendore,domain,Risurrezione,ability,1
Valore,domain,Ossa e Pelle,ability,1
Valore,domain,Spinta Forzata,ability,1
Valore,domain,Sono Il Tuo Scudo,ability,1
Valore,domain,Distruttore di Corpi,ability,1
Valore,domain,Presenza Audace,ability,1
Valore,domain,Ispirazione Critica,ability,1
Valore,domain,Appoggiati,ability,1
Valore,domain,Provocazione,ability,1
Valore,domain,Scudo di Supporto,ability,1
Valore,domain,Corazza,ability,1
Valore,domain,Colpo Risonante,ability,1
Valore,domain,Inevitabile,ability,1
Valore,domain,Risorgi,ability,1
Valore,domain,Scuotiti,ability,1
Valore,domain,Toccato dal Valore,ability,1
Valore,domain,Piena Ondata,ability,1
Valore,domain,Colpire al Suolo,ability,1
Valore,domain,Tieni la Linea,ability,1
Valore,domain,Guida con l'Esempio,ability,1
Valore,domain,Infrangibile,ability,1
Valore,domain,Armatura Infrangibile,ability,1
Abominio dei Regni Esterni,enemy,Picchiatore,unknown,1
Adepto Cultista,enemy,Supporto,unknown,1
Agglomerato di Carcasse Zombie,enemy,Solo,unknown,1
Alto Serafino,enemy,Capo,unknown,1
Anguille Elettriche,enemy,Orda,unknown,1
Aquila Gigante,enemy,Furtivo,unknown,1
Arcere Scheletrico,enemy,a Distanza,unknown,1
Arciere Maledetto,enemy,a Distanza,unknown,1
Arciere Spettrale,enemy,a Distanza,unknown,1
ArcoNecromante,enemy,Capo,unknown,1
Assassino Apprendista,enemy,Minion,unknown,1
Assassino Velenoso,enemy,Furtivo,unknown,1
Bandito con Lama Seghettata,enemy,Standard,unknown,1
Barone Mercante,enemy,Sociale,unknown,1
Cacciatore Mortale,enemy,Capo,unknown,1
Capitano Pirata,enemy,Capo,unknown,1
Capitano Spettrale,enemy,Capo,unknown,1
Capo delle Guardie,enemy,Capo,unknown,1
Cavaliere del Cervo,enemy,Standard,unknown,1
Cavaliere della Corona,enemy,Capo,unknown,1
Cavaliere Scheletrico,enemy,Picchiatore,unknown,1
Cecchino della Lama Seghettata,enemy,a Distanza,unknown,1
Combattente Gigante,enemy,Picchiatore,unknown,1
Consigliere Reale,enemy,Sociale,unknown,1
Corrutore dei Regni Esterni,enemy,Supporto,unknown,1
Corruttore dei Regni Esterni,enemy,Supporto,unknown,1
Cortigiana,enemy,Sociale,unknown,1
Cortigiano,enemy,Sociale,unknown,1
Coscritto,enemy,Minion,unknown,1
Costrutto,enemy,Solo,unknown,1
Custode dei Segreti,enemy,Capo,unknown,1
Demone dell'Avarizia,enemy,Supporto,unknown,1
Demone dell'Presunzione,enemy,Capo,unknown,1
Demone della Furia,enemy,Picchiatore,unknown,1
Demone di Disperazione,enemy,Furtivo,unknown,1
Demone di Gelosia,enemy,a Distanza,unknown,1
Demone Minore,enemy,Solo,unknown,1
Devastatore,enemy,Standard,unknown,1
Difensore dalle Radici Profonde,enemy,Picchiatore,unknown,1
Dragatore Scheletrico,enemy,Minion,unknown,1
Drago Vulcanico Flagello Fuso,enemy,Solo,unknown,1
Drago Vulcanico Predatore di Ossidiana,enemy,Solo,unknown,1
Drago Vulcanico Tiranno Cinereo,enemy,Solo,unknown,1
Driade,enemy,Capo,unknown,1
Elementale Maggiore dell'Acqua,enemy,Supporto,unknown,1
Elementale Maggiore della Terra,enemy,Picchiatore,unknown,1
Elementale Minore del Caos,enemy,Solo,unknown,1
Elementale Minore del Fuoco,enemy,Solo,unknown,1
Esperimento Fallito,enemy,Standard,unknown,1
Giovane Drago di Ghiaccio,enemy,Solo,unknown,1
Giovane Driade,enemy,Capo,unknown,1
Gorgone,enemy,Solo,unknown,1
Gruppo di Zombie,enemy,Orda,unknown,1
Guardia Arciere,enemy,a Distanza,unknown,1
Guardia con Lama,enemy,Standard,unknown,1
Guardiano Carceriere della Cripta,enemy,Supporto,unknown,1
Guardiano Spettrale,enemy,Standard,unknown,1
Guerriero Caduto Campione Imbattibile,enemy,Solo,unknown,1
Guerriero Caduto Frantumatore di Reami,enemy,Solo,unknown,1
Guerriero Scheletrico,enemy,Standard,unknown,1
Idra,enemy,Solo,unknown,1
Immensa Melma Verde,enemy,Furtivo,unknown,1
Iniziato Cultista,enemy,Minion,unknown,1
Kraken,enemy,Solo,unknown,1
